,age,are_you_datascientist,company_size,country_live,employment_status,first_learn_about_main_ide,how_often_use_main_ide,ide_main,is_python_main,job_team,main_purposes,missing_features_main_ide,nps_main_ide,python_years,python3_version_most,several_projects,team_size,use_python_most,years_of_coding,python3_ver
466,21,False,2,China,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,PyCharm Professional Edition,"No, I use Python as a secondary language",Work in a team,Both for work and personal,"No, it has all the features I need",9.0,1.0,Python 3_7,"No,  I only work on one project",2,Machine learning,3.0,3.7
467,21,False,11,United States,Fully employed by a company / organization,Friend / Colleague,Daily,Emacs,"No, I use Python as a secondary language",Work in a team,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_8,"Yes, I work on many different projects",13,Web development,6.0,3.8
470,21,True,51,India,Fully employed by a company / organization,Friend / Colleague,Weekly,PyCharm Community Edition,Yes,Work in a team,For work,"No, it has all the features I need",6.0,3.0,Python 3_6,"Yes, I work on one main and several side projects",2,Machine learning,1.0,3.6
471,30,True,51,Switzerland,Fully employed by a company / organization,Friend / Colleague,Weekly,PyCharm Professional Edition,"No, I use Python as a secondary language",Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",8.0,6.0,Python 3_7,"Yes, I work on one main and several side projects",4,Data analysis,6.0,3.7
474,21,False,11,India,Fully employed by a company / organization, Online learning platform / Online course,Daily,Jupyter Notebook,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,1.0,Python 3_7,"Yes, I work on many different projects",3,Programming of web parsers / scrapers / crawlers,1.0,3.7
484,30,False,1001,United States,Fully employed by a company / organization,I don't remember,Daily,Vim,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",4.0,11.0,Python 3_6,"Yes, I work on many different projects",2,Web development,11.0,3.6
495,30,True,51,Netherlands,Fully employed by a company / organization,Friend / Colleague,Daily,Jupyter Notebook,Yes,Work in a team,Both for work and personal,Yes – Please list:,8.0,11.0,Python 3_7,"Yes, I work on one main and several side projects",2,Data analysis,6.0,3.7
496,21,True,5000,India,Fully employed by a company / organization,Friend / Colleague,Daily,Jupyter Notebook,Yes,Work in a team,For work,"No, it has all the features I need",7.0,1.0,Python 3_7,"Yes, I work on one main and several side projects",2,Machine learning,3.0,3.7
503,30,False,2,Iran,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Community Edition,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",2,Unknown,6.0,3.8
504,60,True,11,United States,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,11.0,Python 3_7,"Yes, I work on many different projects",2,Network programming,11.0,3.7
509,30,False,5000,Hungary,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,PyCharm Community Edition,Yes,Work on your own project(s) independently,Both for work and personal,Yes – Please list:,8.0,3.0,Python 3_8,"Yes, I work on many different projects",4,Programming of web parsers / scrapers / crawlers,1.0,3.8
515,30,True,11,Germany,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,VS Code,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_8,"Yes, I work on many different projects",3,Data analysis,1.0,3.8
519,21,False,11,Russian Federation,Fully employed by a company / organization,Search engines,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_8,"Yes, I work on one main and several side projects",2,Web development,3.0,3.8
523,30,False,11,Mexico,Fully employed by a company / organization,Conference / User Group,Daily,VS Code,Yes,Work in a team,Both for work and personal,Yes – Please list:,9.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",2,Web development,11.0,3.8
533,21,False,5000,Germany,Working student,Friend / Colleague,Daily,Sublime Text,Yes,Work in a team,For work,"No, it has all the features I need",7.0,3.0,Python 3_7,"No,  I only work on one project",2,Software prototyping,1.0,3.7
535,40,False,51,Viet Nam,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,Vim,Yes,Work in a team,Both for work and personal,Yes – Please list:,9.0,3.0,Python 3_8,"Yes, I work on many different projects",2,Web development,6.0,3.8
540,50,Other,1001,Netherlands,Fully employed by a company / organization,I don't remember,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",9.0,11.0,Python 3_8,"Yes, I work on many different projects",2,Other,11.0,3.8
548,21,False,2,South Africa,Fully employed by a company / organization,Friend / Colleague,Daily,NotePad++,Yes,Work on your own project(s) independently,"For personal, educational  or side projects","No, it has all the features I need",10.0,1.0,Python 3_8,"Yes, I work on many different projects",2,Educational purposes,1.0,3.8
555,21,False,11,Norway,Fully employed by a company / organization,Friend / Colleague,Daily,Atom,Yes,Work on your own project(s) independently,"For personal, educational  or side projects",Yes – Please list:,8.0,3.0,Python 3_8,"Yes, I work on many different projects",3,Desktop development,3.0,3.8
557,21,False,11,Ukraine,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",9.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",2,Web development,1.0,3.8
559,21,False,5000,India,Fully employed by a company / organization,Other,Daily,VS Code,Yes,Work on your own project(s) independently,For work,"No, it has all the features I need",10.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",5,Machine learning,3.0,3.8
565,30,True,51,Norway,Fully employed by a company / organization,I don't remember,Daily,PyCharm Community Edition,Yes,Work on your own project(s) independently,For work,"No, it has all the features I need",10.0,1.0,Python 3_7,"Yes, I work on one main and several side projects",3,Machine learning,11.0,3.7
567,21,False,5000,United Kingdom,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Community Edition,Yes,Work in a team,For work,Yes – Please list:,7.0,1.0,Python 3_6,"Yes, I work on one main and several side projects",2,Embedded development,1.0,3.6
572,30,False,5000,France,Fully employed by a company / organization,Search engines,Daily,VS Code,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",8.0,1.0,Python 3_8,"Yes, I work on one main and several side projects",4,Data analysis,6.0,3.8
576,21,True,11,India,Fully employed by a company / organization,Social network,Daily,Atom,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,1.0,Python 3_7,"Yes, I work on one main and several side projects",3,Machine learning,1.0,3.7
577,21,False,51,Germany,Fully employed by a company / organization,School / University,Weekly,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,Yes – Please list:,10.0,6.0,Python 3_8,"Yes, I work on many different projects",2,DevOps / System administration / Writing automation scripts,11.0,3.8
579,30,False,1001,Russian Federation,Fully employed by a company / organization,Search engines,Daily,PyCharm Community Edition,Yes,Work on your own project(s) independently,Both for work and personal,Yes – Please list:,7.0,11.0,Python 3_9,"Yes, I work on one main and several side projects",6,Data analysis,11.0,3.9
584,30,False,2,Netherlands,Fully employed by a company / organization,Friend / Colleague,Weekly,Jupyter Notebook,"No, I use Python as a secondary language",Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_7,"Yes, I work on many different projects",2,Data analysis,3.0,3.7
585,21,True,5000,India,Fully employed by a company / organization,Search engines,Daily,Spyder,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",9.0,1.0,Python 3_7,"Yes, I work on one main and several side projects",13,Machine learning,3.0,3.7
587,21,False,11,Poland,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",13,Unknown,3.0,3.8
588,21,Other,1001,Russian Federation,Fully employed by a company / organization,School / University,Daily,PyCharm Professional Edition,Yes,Work on your own project(s) independently,Both for work and personal,Yes – Please list:,8.0,6.0,Python 3_8,"Yes, I work on one main and several side projects",4,Other,6.0,3.8
601,50,False,501,France,Fully employed by a company / organization,Friend / Colleague,Weekly,PyCharm Community Edition,Yes,Work in a team,For work,"No, it has all the features I need",7.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",2,Data analysis,3.0,3.8
607,18,False,2,Nepal,Fully employed by a company / organization,Search engines,Daily,VS Code,Yes,Work in a team,For work,"No, it has all the features I need",10.0,1.0,Python 3_7,"Yes, I work on many different projects",2,Unknown,1.0,3.7
612,30,True,51,India,Fully employed by a company / organization,School / University,Daily,Spyder,Yes,Work on your own project(s) independently,For work,"No, it has all the features I need",9.0,1.0,Python 3_8,"No,  I only work on one project",4,Data analysis,1.0,3.8
618,40,False,5000,China,Fully employed by a company / organization,Search engines,Weekly,PyCharm Community Edition,Yes,Work on your own project(s) independently,Both for work and personal,Yes – Please list:,9.0,3.0,Python 3_7,"Yes, I work on many different projects",8,Desktop development,3.0,3.7
620,18,False,1,Other country,"Self-employed (a person earning income directly from one's own business, trade, or profession)",Friend / Colleague,Daily,IntelliJ IDEA,Yes,Work on your own project(s) independently,"For personal, educational  or side projects","No, it has all the features I need",10.0,1.0,Python 3_6,"No,  I only work on one project",1,Software prototyping,1.0,3.6
